idx,Variable,Unit,r21m42,r21m42_unit,factor,Comment,Category,Definition,available,source,quality,useful
295,Emissions|CO2|Energy|Demand|Industry|Other,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in the Other industry sector (IPCC category 1A2),,,,no
296,Emissions|CO2|Energy|Demand|Industry|Plastics,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in the Plastics industry sector (IPCC category 1A2),,,,no
297,Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in the Pulp and Paper industry sector (IPCC category 1A2),,,,no
298,Emissions|CO2|Energy|Demand|Industry|Steel,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in the Steel industry sector (IPCC category 1A2),,,,no
299,Emissions|CO2|Energy|Demand|Other Sector,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab),,,,no
300,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,Emi|CO2|Transport|Demand,Mt CO2/yr,,,Emissions,"CO2 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",yes,endogenous,high,no
301,Emissions|CO2|Energy|Demand|Transportation|Aviation,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by aviation mode,,,,no
302,Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by freight aviation mode,,,,no
303,Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by passenger aviation mode,,,,no
304,Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr,,,,,Emissions,"CO2 emissions from fuel combustion in freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
305,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by maritime mode,,,,no
306,Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by freight maritime mode,,,,no
307,Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by passenger maritime mode,,,,no
308,Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr,,,,,Emissions,CO2 emissions from fuel combustion in passenger transportation sector (part of IPCC category 1A3),,,,no
309,Emissions|CO2|Energy|Demand|Transportation|Rail,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by rail mode,,,,no
310,Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by freight rail mode,,,,no
311,Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from transport by passenger rail mode,,,,no
312,Emissions|CO2|Energy|Demand|Transportation|Road,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from road transport vehicles,,,,no
313,Emissions|CO2|Energy|Demand|Transportation|Road|Freight,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from road freight transport vehicles,,,,no
314,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from road transport passenger vehicles,,,,no
315,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|2W&3W,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from road transport passenger 2W&3W vehicles,,,,no
316,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus,Mt CO2/yr,,,,,Emissions,carbon dioxide emissions from road transport passenger Buses,,,,no
317,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV,Mt CO2/yr,Emi|CO2|Transport|Pass|Road|LDV|Demand,Mt CO2/yr,,,Emissions,carbon dioxide emissions from road transport passenger LDVs,yes,endogenous,high,no
318,Emissions|CO2|Energy|Supply,Mt CO2/yr,Emi|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,,"!!! warning - the sum only works with Emi|CO2|Fossil Fuels and Industry|Energy Supply, Indirect is not identical to Supply ",Emissions,"CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",yes,endogenous,high,no
319,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,Emi|CO2|Energy|Supply|Electricity,Mt CO2/yr,,,Emissions,CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii),yes,endogenous,high,no
320,Emissions|CO2|Energy|Supply|Gases,Mt CO2/yr,Emi|CO2|Energy|Supply|Gases|w/ couple prod|Before IndustryCCS,Mt CO2/yr,,,Emissions,"CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii)",yes,endogenous,high,no
321,Emissions|CO2|Energy|Supply|Heat,Mt CO2/yr,Emi|CO2|Energy|Supply|Heat|w/ couple prod,Mt CO2/yr,,,Emissions,CO2 emissions from heat production and distribution (IPCC category 1A1aiii),yes,endogenous,high,no
322,Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,Emi|CO2|Energy|Supply|Liquids|w/ couple prod|Before IndustryCCS,Mt CO2/yr,,,Emissions,"CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a)",yes,endogenous,high,no
323,Emissions|CO2|Energy|Supply|Other Sector,Mt CO2/yr,Emi|CO2|Energy|Supply|Hydrogen|w/ couple prod,Mt CO2/yr,,,Emissions,CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab),yes,endogenous,high,no
324,Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,Emi|CO2|Energy|Supply|Solids|w/ couple prod|Before IndustryCCS,Mt CO2/yr,,,Emissions,"CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci, parts of 1A1cii, 1B1)",yes,endogenous,high,no
325,Emissions|CO2|Industrial Processes,Mt CO2/yr,Emi|CO2|Fossil Fuels and Industry|Cement process,Mt CO2/yr,,,Emissions,"CO2 emissions from industrial processes (IPCC categories 2A, B, C, E)",yes,endogenous,high,no
326,Emissions|CO2|Industrial Processes|Cement,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the cement sector  (IPCC categories 2A, B, C, E)",,,,no
327,Emissions|CO2|Industrial Processes|Chemicals,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the chemicals sector  (IPCC categories 2A, B, C, E)",,,,no
328,Emissions|CO2|Industrial Processes|Chemicals|Ammonia,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the ammonia sector (NH3) (IPCC categories 2A, B, C, E)",,,,no
329,Emissions|CO2|Industrial Processes|Chemicals|High value chemicals,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the high value chemicals sector (e.g. ethylene, propylene and BTX (benzene, toluene and xylene)) (IPCC categories 2A, B, C, E)",,,,no
330,Emissions|CO2|Industrial Processes|Chemicals|Methanol,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the methanol sector (CH3OH) (IPCC categories 2A, B, C, E)",,,,no
331,Emissions|CO2|Industrial Processes|Chemicals|Other,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the other sector (All other chemicals, please specify in comments tab) (IPCC categories 2A, B, C, E)",,,,no
332,Emissions|CO2|Industrial Processes|Non-ferrous metals,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the non-ferrous metals sector  (IPCC categories 2A, B, C, E)",,,,no
333,Emissions|CO2|Industrial Processes|Other,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the other sector (All other production, please specify in comments tab) (IPCC categories 2A, B, C, E)",,,,no
334,Emissions|CO2|Industrial Processes|Plastics,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the plastics sector  (IPCC categories 2A, B, C, E)",,,,no
335,Emissions|CO2|Industrial Processes|Pulp and Paper,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the pulp and paper sector  (IPCC categories 2A, B, C, E)",,,,no
336,Emissions|CO2|Industrial Processes|Steel,Mt CO2/yr,,,,,Emissions,"CO2 emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the steel sector  (IPCC categories 2A, B, C, E)",,,,no
337,Emissions|CO2|Other,Mt CO2/yr,,,,,Emissions,CO2 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),,,,no
338,Emissions|CO2|Waste,Mt CO2/yr,,,,,Emissions,,,,,no
339,Emissions|CO|AFOLU,Mt CO/yr,Emi|CO|Land Use,Mt CO/yr,,,Emissions,Land Use based carbon monoxide emissions,yes,endogenous,low,no
340,Emissions|CO|AFOLU|Agriculture,Mt CO/yr,,,,,Emissions,CO|AFOLU|Agric emissions from agriculture,,,,no
341,Emissions|CO|AFOLU|Land,Mt CO/yr,,,,,Emissions,CO|AFOL emissions from forestry and other land use,,,,no
342,Emissions|CO|Energy,Mt CO/yr,Emi|CO|Energy Supply and Demand,Mt CO/yr,,,Emissions,"carbon monoxide emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",yes,endogenous,low,no
343,Emissions|CO|Energy|Demand|Buildings,Mt CO/yr,Emi|CO|Energy Demand|ResCom,Mt CO/yr,,,Emissions,"carbon monoxide emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A, 1A4B)",yes,endogenous,low,no
344,Emissions|CO|Energy|Demand|Buildings|Commercial,Mt CO2/yr,,,,,Emissions,"CO emissions from fuel combustion in commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
345,Emissions|CO|Energy|Demand|Buildings|Residential,Mt CO2/yr,,,,,Emissions,"CO emissions from fuel combustion in residential sector (IPCC category 1A4a, 1A4b) ",,,,no
346,Emissions|CO|Energy|Demand|Buildings|Residential and Commercial,Mt CO2/yr,,,,,Emissions,"CO emissions from fuel combustion in residential and commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
347,Emissions|CO|Energy|Demand|Industry,Mt CO/yr,Emi|CO|Energy Demand|Industry,Mt CO/yr,,,Emissions,carbon monoxide emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5),yes,endogenous,low,no
348,Emissions|CO|Energy|Demand|Transportation,Mt CO/yr,Emi|CO|Energy Demand|Transport,Mt CO/yr,,,Emissions,carbon monoxide emissions from Combustion in Transportation Sector (IPCC category 1A3),yes,endogenous,low,no
349,Emissions|CO|Energy|Demand|Transportation|Freight,Mt CO/yr,,,,,Emissions,"CO emissions from fuel combustion in Freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
350,Emissions|CO|Energy|Demand|Transportation|Passenger,Mt CO/yr,,,,,Emissions,"CO emissions from fuel combustion in Passenger transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
351,Emissions|CO|Energy|Supply,Mt CO/yr,Emi|CO|Energy Supply,Mt CO/yr,,,Emissions,"carbon monoxide emissions from Extraction and Distribution of Fossil Fuels (including fugitive emissions, IPCC category 1B); Electricity production and distribution, district heating and other energy conversion (e.g. refineries, synfuel production)",yes,endogenous,low,no
352,Emissions|CO|Industrial Processes,Mt CO/yr,,,,,Emissions,CO emissions from industrial processes,,,,no
353,Emissions|CO|Other,Mt CO/yr,,,,,Emissions,carbon monoxide emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab),,,,no
354,Emissions|CO|Waste,Mt CO/yr,Emi|CO|Waste,Mt CO/yr,,,Emissions,,yes,endogenous,low,no
355,Emissions|F-Gases,Mt CO2-equiv/yr,Emi|F-Gases,Mt CO2-equiv/yr,,,Emissions,"total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) (preferably use 100-year GWPs from AR4 for aggregation of different F-gases; in case other GWPs have been used, please document this on the 'comments' tab)",yes,endogenous,low,no
356,Emissions|HFC,kt HFC134a-equiv/yr,Emi|HFC,kt HFC134a-equiv/yr,,,Emissions,"total emissions of hydrofluorocarbons (HFCs), provided as aggregate HFC134a-equivalents",yes,endogenous,low,no
357,Emissions|HFC|AFOLU,Mt CO2-equiv/yr,,,,,Emissions,"HFC emissions from agriculture, forestry and other land use (IPCC category 3)",,,,no
358,Emissions|HFC|AFOLU|Agriculture,Mt CO2-equiv/yr,,,,,Emissions,HFC|AFOLU|Agric emissions from agriculture,,,,no
359,Emissions|HFC|AFOLU|Land,Mt CO2-equiv/yr,,,,,Emissions,HFC|AFOL emissions from forestry and other land use,,,,no
360,Emissions|HFC|Energy,Mt CO2-equiv/yr,,,,,Emissions,HFC| emissions from forestry and other land use,,,,no
361,Emissions|HFC|HFC125,kt HFC125/yr,,,,,Emissions,total emissions of HFC125,,,,no
362,Emissions|HFC|HFC134a,kt HFC134a/yr,,,,,Emissions,total emissions of HFC134a,,,,no
363,Emissions|HFC|HFC143a,kt HFC143a/yr,,,,,Emissions,total emissions of HFC143a,,,,no
364,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,,,Emissions,total emissions of HFC227ea,,,,no
365,Emissions|HFC|HFC23,kt HFC23/yr,,,,,Emissions,total emissions of HFC23,,,,no
366,Emissions|HFC|HFC245fa,kt HFC245fa/yr,,,,,Emissions,total emissions of HFC245fa,,,,no
367,Emissions|HFC|HFC32,kt HFC32/yr,,,,,Emissions,total emissions of HFC32,,,,no
368,Emissions|HFC|HFC43-10,kt HFC43-10/yr,,,,,Emissions,total emissions of HFC343-10,,,,no
369,Emissions|HFC|Industrial Processes,Mt CO2-equiv/yr,,,,,Emissions,HFC emissions from industrial processes,,,,no
370,Emissions|HFC|Industrial Processes|Chemicals,kt HFC134a-equiv/yr,,,,,Emissions,"HFC emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the chemicals sector  (IPCC categories 2A, B, C, E)",,,,no
371,Emissions|HFC|Industrial Processes|Other,kt HFC134a-equiv/yr,,,,,Emissions,"HFC emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the other sector (All other production, please specify in comments tab) (IPCC categories 2A, B, C, E)",,,,no
372,Emissions|HFC|Waste,Mt CO2-equiv/yr,,,,,Emissions,,,,,no
373,Emissions|Kyoto Gases,Mt CO2-equiv/yr,Emi|Kyoto Gases,Mt CO2-equiv/yr,,,Emissions,"total Kyoto GHG emissions, including CO2, CH4, N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases; in case other GWPs have been used, please document this on the 'comments' tab)",yes,endogenous,medium,no
374,Emissions|N2O,kt N2O/yr,Emi|N2O,kt N2O/yr,,,Emissions,total N2O emissions,yes,endogenous,medium,no
375,Emissions|N2O|AFOLU,kt N2O/yr,Emi|N2O|Land Use,kt N2O/yr,,,Emissions,"N2O emissions from agriculture, forestry and other land use (IPCC category 3)",yes,endogenous,medium,no
376,Emissions|N2O|AFOLU|Agriculture,kt N2O/yr,,,,,Emissions,N2O|AFOLU|Agric emissions from agriculture,,,,no
377,Emissions|N2O|AFOLU|Land,kt N2O/yr,,,,,Emissions,N2O|AFOL emissions from forestry and other land use,,,,no
378,Emissions|N2O|Energy,kt N2O/yr,Emi|N2O|Energy Supply and Demand,kt N2O/yr,,,Emissions,"N2O emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",yes,endogenous,medium,no
379,Emissions|N2O|Energy|Demand|Buildings|Commercial,Mt CO2/yr,,,,,Emissions,"N2O emissions from fuel combustion in commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
380,Emissions|N2O|Energy|Demand|Buildings|Residential,Mt CO2/yr,,,,,Emissions,"N2O emissions from fuel combustion in residential sector (IPCC category 1A4a, 1A4b) ",,,,no
381,Emissions|N2O|Energy|Demand|Buildings|Residential and Commercial,Mt CO2/yr,,,,,Emissions,"N2O emissions from fuel combustion in residential and commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
382,Emissions|N2O|Energy|Demand|Transportation,Mt N2O/yr,Emi|N2O|Energy Demand|Transport,kt N2O/yr,,,Emissions,"N2O emissions from fuel combustion in the transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",yes,endogenous,medium,no
383,Emissions|N2O|Energy|Demand|Transportation|Freight,Mt N2O/yr,,,,,Emissions,"N2O emissions from fuel combustion in Freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
384,Emissions|N2O|Energy|Demand|Transportation|Passenger,Mt N2O/yr,,,,,Emissions,"N2O emissions from fuel combustion in Passenger transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
385,Emissions|N2O|Industrial Processes,kt N2O/yr,Emi|N2O|Industry,kt N2O/yr,,,Emissions,N2O emissions from industrial processes,yes,endogenous,medium,no
386,Emissions|N2O|Industrial Processes|Chemicals,kt N2O/yr,,,,,Emissions,"N2O emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the chemicals sector  (IPCC categories 2A, B, C, E)",,,,no
387,Emissions|N2O|Industrial Processes|Non-ferrous metals,kt N2O/yr,,,,,Emissions,"N2O emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the non-ferrous metals sector  (IPCC categories 2A, B, C, E)",,,,no
388,Emissions|N2O|Industrial Processes|Other,kt N2O/yr,,,,,Emissions,"N2O emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the other sector (All other production, please specify in comments tab) (IPCC categories 2A, B, C, E)",,,,no
389,Emissions|N2O|Industrial Processes|Plastics,kt N2O/yr,,,,,Emissions,"N2O emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the plastics sector  (IPCC categories 2A, B, C, E)",,,,no
390,Emissions|N2O|Industrial Processes|Steel,kt N2O/yr,,,,,Emissions,"N2O emissions from industrial processes (excl. fuel combustion IPCC 1A2) in the steel sector  (IPCC categories 2A, B, C, E)",,,,no
391,Emissions|N2O|Other,kt N2O/yr,,,,,Emissions,N2O emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),,,,no
392,Emissions|N2O|Waste,kt N2O/yr,Emi|N2O|Waste,kt N2O/yr,,,Emissions,,yes,endogenous,medium,no
393,Emissions|NH3,Mt NH3/yr,Emi|NH3,Mt NH3/yr,,,Emissions,total ammonium (NH3) emissions,yes,endogenous,medium,no
394,Emissions|NH3|AFOLU,Mt NH3/yr,Emi|NH3|Land Use,Mt NH3/yr,,,Emissions,land use based ammonia Emissions,yes,endogenous,medium,no
395,Emissions|NH3|AFOLU|Agriculture,Mt NH3/yr,,,,,Emissions,NH3|AFOLU|Agric emissions from agriculture,,,,no
396,Emissions|NH3|AFOLU|Land,Mt NH3/yr,,,,,Emissions,NH3|AFOL emissions from forestry and other land use,,,,no
397,Emissions|NH3|Energy,Mt NH3/yr,Emi|NH3|Energy Supply and Demand,Mt NH3/yr,,,Emissions,"ammonia emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",yes,endogenous,medium,no
398,Emissions|NH3|Energy|Demand|Buildings,Mt NH3/yr,Emi|NH3|Energy Demand|ResCom,Mt NH3/yr,,,Emissions,"ammonia Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A, 1A4B)",yes,endogenous,medium,no
399,Emissions|NH3|Energy|Demand|Buildings|Commercial,Mt CO2/yr,,,,,Emissions,"NH3 emissions from fuel combustion in commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
400,Emissions|NH3|Energy|Demand|Buildings|Residential,Mt CO2/yr,,,,,Emissions,"NH3 emissions from fuel combustion in residential sector (IPCC category 1A4a, 1A4b) ",,,,no
401,Emissions|NH3|Energy|Demand|Buildings|Residential and Commercial,Mt CO2/yr,,,,,Emissions,"NH3 emissions from fuel combustion in residential and commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
402,Emissions|NH3|Energy|Demand|Industry,Mt NH3/yr,Emi|NH3|Energy Demand|Industry,Mt NH3/yr,,,Emissions,ammonia Emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5),yes,endogenous,medium,no
403,Emissions|NH3|Energy|Demand|Transportation,Mt NH3/yr,Emi|NH3|Energy Demand|Transport,Mt NH3/yr,,,Emissions,ammonia Emissions from Combustion in Transportation Sector (IPCC category 1A3),yes,endogenous,medium,no
404,Emissions|NH3|Energy|Demand|Transportation|Freight,Mt NH3/yr,,,,,Emissions,"NH3 emissions from fuel combustion in Freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
405,Emissions|NH3|Energy|Demand|Transportation|Passenger,Mt NH3/yr,,,,,Emissions,"NH3 emissions from fuel combustion in Passenger transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
406,Emissions|NH3|Energy|Supply,Mt NH3/yr,Emi|NH3|Energy Supply,Mt NH3/yr,,,Emissions,"ammonia Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B); Electricity production and distribution, district heating and other energy conversion (e.g. refineries, synfuel production)",yes,endogenous,medium,no
407,Emissions|NH3|Industrial Processes,Mt NH3/yr,,,,,Emissions,NH3 emissions from industrial processes,,,,no
408,Emissions|NH3|Other,Mt NH3/yr,,,,,Emissions,ammonia Emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab),,,,no
409,Emissions|NH3|Waste,Mt NH3/yr,Emi|NH3|Waste,Mt NH3/yr,,,Emissions,,yes,endogenous,medium,no
410,Emissions|NOx,Mt NO2/yr,Emi|NOX,Mt NOX/yr,,,Emissions,total NOx emissions,yes,endogenous,medium,no
411,Emissions|NOx|AFOLU,Mt NO2/yr,Emi|NOX|Land Use,Mt NOX/yr,,,Emissions,"NOx emissions from agriculture, forestry and other land use (IPCC category 3)",yes,endogenous,medium,no
412,Emissions|NOx|AFOLU|Agriculture,Mt NOx/yr,,,,,Emissions,NOx|AFOLU|Agric emissions from agriculture,,,,no
413,Emissions|NOx|AFOLU|Land,Mt NOx/yr,,,,,Emissions,NOx|AFOL emissions from forestry and other land use,,,,no
414,Emissions|NOx|Energy,Mt NO2/yr,Emi|NOX|Energy Supply and Demand,Mt NOX/yr,,,Emissions,"NOx emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",yes,endogenous,medium,no
415,Emissions|NOx|Energy|Demand|Buildings,Mt NO2/yr,Emi|NOX|Energy Demand|ResCom,Mt NOX/yr,,,Emissions,"NOx emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",yes,endogenous,medium,no
416,Emissions|NOx|Energy|Demand|Buildings|Commercial,Mt CO2/yr,,,,,Emissions,"NOx emissions from fuel combustion in commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
417,Emissions|NOx|Energy|Demand|Buildings|Residential,Mt CO2/yr,,,,,Emissions,"NOx emissions from fuel combustion in residential sector (IPCC category 1A4a, 1A4b) ",,,,no
418,Emissions|NOx|Energy|Demand|Buildings|Residential and Commercial,Mt CO2/yr,,,,,Emissions,"NOx emissions from fuel combustion in residential and commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
419,Emissions|NOx|Energy|Demand|Industry,Mt NO2/yr,Emi|NOX|Energy Demand|Industry,Mt NOX/yr,,,Emissions,NOx emissions from fuel combustion in industry (IPCC category 1A2),yes,endogenous,medium,no
420,Emissions|NOx|Energy|Demand|Transportation,Mt NO2/yr,Emi|NOX|Energy Demand|Transport,Mt NOX/yr,,,Emissions,"NOx emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",yes,endogenous,medium,no
421,Emissions|NOx|Energy|Demand|Transportation|Freight,Mt NOx/yr,,,,,Emissions,"NOx emissions from fuel combustion in Freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
422,Emissions|NOx|Energy|Demand|Transportation|Passenger,Mt NOx/yr,,,,,Emissions,"NOx emissions from fuel combustion in Passenger transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",,,,no
423,Emissions|NOx|Energy|Supply,Mt NO2/yr,Emi|NOX|Energy Supply,Mt NOX/yr,,,Emissions,"NOx emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",yes,endogenous,medium,no
424,Emissions|NOx|Industrial Processes,Mt NOx/yr,,,,,Emissions,NOx emissions from industrial processes,,,,no
425,Emissions|NOx|Other,Mt NO2/yr,,,,,Emissions,NOx emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),,,,no
426,Emissions|NOx|Waste,Mt NOx/yr,Emi|NOX|Waste,Mt NOX/yr,,,Emissions,,yes,endogenous,medium,no
427,Emissions|OC,Mt OC/yr,Emi|OC,Mt OC/yr,,,Emissions,total organic carbon emissions,yes,endogenous,medium,no
428,Emissions|OC|AFOLU,Mt OC/yr,Emi|OC|Land Use,Mt OC/yr,,,Emissions,"organic carbon emissions from agriculture, forestry and other land use (IPCC category 3)",yes,endogenous,medium,no
429,Emissions|OC|AFOLU|Agriculture,Mt OC/yr,,,,,Emissions,OC|AFOLU|Agric emissions from agriculture,,,,no
430,Emissions|OC|AFOLU|Land,Mt OC/yr,,,,,Emissions,OC|AFOL emissions from forestry and other land use,,,,no
431,Emissions|OC|Energy,Mt OC/yr,Emi|OC|Energy Supply and Demand,Mt OC/yr,,,Emissions,"organic carbon emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",yes,endogenous,medium,no
432,Emissions|OC|Energy|Demand|Buildings,Mt OC/yr,Emi|OC|Energy Demand|ResCom,Mt OC/yr,,,Emissions,"organic carbon emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",yes,endogenous,medium,no
433,Emissions|OC|Energy|Demand|Buildings|Commercial,Mt CO2/yr,,,,,Emissions,"OC emissions from fuel combustion in commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
434,Emissions|OC|Energy|Demand|Buildings|Residential,Mt CO2/yr,,,,,Emissions,"OC emissions from fuel combustion in residential sector (IPCC category 1A4a, 1A4b) ",,,,no
435,Emissions|OC|Energy|Demand|Buildings|Residential and Commercial,Mt CO2/yr,,,,,Emissions,"OC emissions from fuel combustion in residential and commercial sector (IPCC category 1A4a, 1A4b) ",,,,no
436,Emissions|OC|Energy|Demand|Industry,Mt OC/yr,Emi|OC|Energy Demand|Industry,Mt OC/yr,,,Emissions,organic carbon emissions from fuel combustion in industry (IPCC category 1A2),yes,endogenous,medium,no
